"","ZIP","CAPACITY","COUNT","Income","Perc_White","Perc_Male","Total_Occ_House","Adoption_Rate"
"328","07946",118.92,16,1110,89.7,49,1110,0.0144144144144144
"329","07950",854.65,102,7147,74.4,49,7147,0.0142717224010074
"330","07960",1337.825,154,18047,82.2,49.6,18047,0.00853327422840361
"331","07970",9.92,1,57,89.9,34.9,57,0.0175438596491228
"332","07974",286.735,32,4134,83.1,50.1,4134,0.00774068698597
"333","07976",146.154,11,302,97.4,48.8,302,0.0364238410596026
"334","07977",15.09,2,231,81.4,47.7,231,0.00865800865800866
"335","07979",8.4,1,205,93.3,33.7,205,0.0048780487804878
"336","07980",137.323,15,905,88.8,54.4,905,0.0165745856353591
"337","07981",637.16,78,3558,85.3,48.8,3558,0.0219224283305228
"338","08001",954.255,79,326,91.2,60.4,326,0.242331288343558
"339","08002",3995.405,473,8956,72,47.5,8956,0.0528137561411344
"340","08003",5435.994,605,10870,74.6,50.1,10870,0.0556577736890524
"341","08004",3117.578,360,4029,81.8,50.2,4029,0.0893521965748325
"342","08005",9887.492,1201,9357,91.1,49.2,9357,0.128353104627552
"343","08006",196.91,33,177,94.7,43.8,177,0.186440677966102
"344","08007",635.475,86,2120,91.3,50.9,2120,0.0405660377358491
"345","08008",2287.541,362,3510,98.2,45.9,3510,0.103133903133903
"346","08009",4308.601,464,4988,81.3,48.3,4988,0.0930232558139535
"347","08010",2321.555,308,4343,63,44.6,4343,0.0709187197789546
"348","08011",29.66,3,0,NA,NA,0,Inf
"349","08012",11368.983,1278,14658,78.1,49.6,14658,0.0871878837494883
"350","08014",145.61,18,187,100,57.8,187,0.0962566844919786
"351","08015",4543.554,511,7161,67.9,49.5,7161,0.0713587487781036
"352","08016",8234.926,1012,12145,53.5,47.9,12145,0.0833264717990943
"353","08018",684.425,73,NA,NA,NA,NA,NA
"354","08019",480.475,35,370,85.6,56.5,370,0.0945945945945946
"355","08020",1155.556,114,953,92.2,48,953,0.119622245540399
"356","08021",8153.805,1009,18316,55,46.7,18316,0.0550884472592269
"357","08022",5053.733,604,3711,78.9,50,3711,0.162759364052816
"358","08023",117.02,15,143,97.2,46.3,143,0.104895104895105
"359","08024",5.2,1,NA,NA,NA,NA,NA
"360","08025",192.64,18,NA,NA,NA,NA,NA
"361","08026",360.91,44,760,89.6,47.9,760,0.0578947368421053
"362","08027",2657.629,309,1926,93.3,45.2,1926,0.160436137071651
"363","08028",4752.363,572,6479,65.2,50.6,6479,0.0882852292020374
"364","08029",1257.21,152,1972,93.1,44.3,1972,0.077079107505071
"365","08030",1312.204,177,4623,82.4,47.6,4623,0.0382868267358858
"366","08031",2584.795,336,4392,79.9,50.1,4392,0.0765027322404372
"367","08032",202.495,23,NA,NA,NA,NA,NA
"368","08033",961.915,120,6054,95.6,49.9,6054,0.0198216055500496
"369","08034",2447.815,282,6893,77,48.2,6893,0.0409110692006383
"370","08035",502.11,66,3004,95.3,47.3,3004,0.0219707057256991
"371","08036",1641.905,172,2240,88.7,51.3,2240,0.0767857142857143
"372","08037",9845.783,925,8325,83.4,50.1,8325,0.111111111111111
"373","08038",204.415,20,45,100,55.1,45,0.444444444444444
"374","08039",110.815,9,45,100,69.2,45,0.2
"375","08041",243.82,26,330,84.2,52.5,330,0.0787878787878788
"376","08042",74.975,7,67,100,46.7,67,0.104477611940299
"377","08043",4385.862,503,11017,65.4,48.2,11017,0.0456567123536353
"378","08045",746.905,88,1129,6.8,46.4,1129,0.0779450841452613
"379","08046",15020.183,1910,10693,20.3,46.5,10693,0.178621528102497
"380","08048",3311.846,342,4687,66.9,47.8,4687,0.0729677832302112
"381","08049",1415.915,192,2033,71.5,50.3,2033,0.0944417117560256
"382","08050",12203.347,1450,9935,92.3,48.8,9935,0.145948666331152
"383","08051",2727.229,298,4176,90.6,42.9,4176,0.071360153256705
"384","08052",2150.787,281,8285,75.3,48,8285,0.0339167169583585
"385","08053",8794.05,972,17624,84.5,48.8,17624,0.0551520653654108
"386","080533",7.82,1,NA,NA,NA,NA,NA
"387","08054",7839.32,895,17302,74,47.2,17302,0.0517281239163103
"388","08055",3215.37,279,10013,93.8,49.6,10013,0.0278637770897833
"389","08056",3031.16,267,1509,81.1,50.4,1509,0.176938369781312
"390","08057",2313.933,240,7227,83.1,48.3,7227,0.033208800332088
"391","08058",10.4,1,NA,NA,NA,NA,NA
"392","08059",1052.525,146,2127,96.4,48.7,2127,0.0686412787964269
"393","08060",6104.839,761,8885,62.4,49.4,8885,0.0856499718626899
"394","08061",1310.996,144,946,74.8,43,946,0.152219873150106
"395","08062",6963.422,610,5344,95,49.6,5344,0.114146706586826
"396","08063",822.362,95,1117,92.1,49.1,1117,0.0850492390331244
"397","08064",33.28,4,30,74.8,35.9,30,0.133333333333333
"398","08065",576.93,82,2825,71.8,48.4,2825,0.0290265486725664
"399","08066",1802.755,228,3635,69.3,47.4,3635,0.0627235213204952
